John;Doe;120 jefferson st.;Riverside ;NJ ;8075;Male;H;Tennis;Piano;Painting
Jack;McGinnis;220 hobo Av.;Phila; PA;9119;Female;H;Basketball;Singing;None
"John ""Da Man""";McGinnis;120 Jefferson St.;Riverside; NJ;8075;Male;G;Ping pong;Piano;None
Stephen;Repici;"7452 Terrace ""At the Plaza"" road";SomeTown;SD;91234;Male;H;Tennis;Guitar;Pottery
Steve;Tyler;12 rue de la paix;SomeTown;SD;2981;Female;G;Ping pong;Piano;Drawing
"Joan ""the bone""";Tyler; at Terrace plc;Desert City;CO;1456;Male;H;Tennis;Guitar;Painting
John;Blankman;121 jefferson st.;Riverside ;NJ ;23321,66667;Male;H;Tennis;Piano;Painting
Jack;Tyler;221 hobo Av.;Phila; PA;24225,95238;Female;H;Basketball;Singing;None
"John ""Da Man""";Blankman;121 Jefferson St.;Riverside; NJ;25130,2381;Male;G;Ping pong;Piano;None
Stephen;Anne;"7453 Terrace ""At the Plaza"" road";SomeTown;SD;26034,52381;Male;H;Tennis;Guitar;Pottery
Steve;Doe;13 rue de la paix;SomeTown;SD;26938,80952;Female;G;Ping pong;Piano;Drawing
"Joan ""the bone""";McGinnis; at Terrace plc;Desert City;CO;27843,09524;Male;H;Tennis;Guitar;Painting
John;Repici;122 jefferson st.;Riverside ;NJ ;28747,38095;Male;H;Tennis;Piano;Painting
Jack;Tyler;222 hobo Av.;Phila; PA;29651,66667;Female;H;Basketball;Singing;None
"John ""Da Man""";Tyler;122 Jefferson St.;Riverside; NJ;30555,95238;Male;G;Ping pong;Piano;None
Stephen;Blankman;"7454 Terrace ""At the Plaza"" road";SomeTown;SD;31460,2381;Male;H;Tennis;Guitar;Pottery
Steve;Tyler;14 rue de la paix;SomeTown;SD;32364,52381;Female;G;Ping pong;Piano;Drawing
"Joan ""the bone""";Blankman; at Terrace plc;Desert City;CO;33268,80952;Male;H;Tennis;Guitar;Painting
John;Anne;123 jefferson st.;Riverside ;NJ ;34173,09524;Male;H;Tennis;Piano;Painting
Jack;Doe;223 hobo Av.;Phila; PA;35077,38095;Female;H;Basketball;Singing;None
"John ""Da Man""";McGinnis;123 Jefferson St.;Riverside; NJ;35981,66667;Male;G;Ping pong;Piano;None
Stephen;Repici;"7455 Terrace ""At the Plaza"" road";SomeTown;SD;36885,95238;Male;H;Tennis;Guitar;Pottery
Steve;Tyler;15 rue de la paix;SomeTown;SD;37790,2381;Female;G;Ping pong;Piano;Drawing
"Joan ""the bone""";Tyler; at Terrace plc;Desert City;CO;38694,52381;Male;H;Tennis;Guitar;Painting
John;Blankman;124 jefferson st.;Riverside ;NJ ;39598,80952;Male;H;Tennis;Piano;Painting
Jack;Anne;224 hobo Av.;Phila; PA;40503,09524;Female;H;Basketball;Singing;None
"John ""Da Man""";Doe;124 Jefferson St.;Riverside; NJ;41407,38095;Male;G;Ping pong;Piano;None
Stephen;Tyler;"7456 Terrace ""At the Plaza"" road";SomeTown;SD;42311,66667;Male;H;Tennis;Guitar;Pottery
Steve;Blankman;16 rue de la paix;SomeTown;SD;43215,95238;Female;G;Ping pong;Piano;Drawing
